,Employer,Address,Positions,Province,NOC,Stream,Incorporate_status,LMIAs,YEAR,PERIOD,NOC_code,NOC_label
9137,2870495 ONTARIO INC.,"ETOBICOKE, ON M9W 3W8",1,Ontario,0631-Restaurant and food service managers,Low Wage,Unknown,1,2024,Q1,0631,Restaurant and food service managers
9138,2870495 ONTARIO INC.,"ETOBICOKE, ON M9W 3W8",2,Ontario,6322-Cooks,Low Wage,Unknown,1,2024,Q1,6322,Cooks
9139,2871605 Ontario Inc.,"Oshawa, ON L1K 0R4",1,Ontario,7612-Other trades helpers and labourers,Low Wage,Unknown,1,2024,Q1,7612,Other trades helpers and labourers
9140,2872183 ONTARIO INC,"Hamilton, ON L8M 1L6",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9141,3242099 Canada Inc.,"Hawkesbury, ON K6A 1B6",1,Ontario,"6711-Food counter attendants, kitchen helpers and related support occupations",Low Wage,Unknown,1,2024,Q1,6711,"Food counter attendants, kitchen helpers and related support occupations"
9142,355 McNeely Hospitality Inc,"Carleton Place, ON K7C 0A1",1,Ontario,6312-Executive housekeepers,Low Wage,Unknown,1,2024,Q1,6312,Executive housekeepers
9143,3932788 Canada Inc.,"Orleans, ON K1C 1G2",1,Ontario,6322-Cooks,Low Wage,Unknown,1,2024,Q1,6322,Cooks
9144,3932788 Canada Inc.,"Orleans, ON K1C 1G2",1,Ontario,"6711-Food counter attendants, kitchen helpers and related support occupations",Low Wage,Unknown,1,2024,Q1,6711,"Food counter attendants, kitchen helpers and related support occupations"
9145,3For10 Pizza Inc.,"New Hamburg, ON N3A 2J1",1,Ontario,6322-Cooks,Low Wage,Unknown,1,2024,Q1,6322,Cooks
9146,3For10 Pizza Inc.,"New Hamburg, ON N3A 2J1",1,Ontario,"6331-Butchers, meat cutters and fishmongers - retail and wholesale",Low Wage,Unknown,1,2024,Q1,6331,"Butchers, meat cutters and fishmongers - retail and wholesale"
9147,3G Print Group Inc.,"Richmond Hill, ON L4B 3H6",1,Ontario,7381-Printing press operators,Low Wage,Unknown,1,2024,Q1,7381,Printing press operators
9148,401 Truck & Trailer Repair Center Inc.,"Woodstock, ON N4S 8L2",2,Ontario,7612-Other trades helpers and labourers,Low Wage,Unknown,1,2024,Q1,7612,Other trades helpers and labourers
9149,416 food truck company Inc.,"Brampton, ON L6X 0G6",1,Ontario,1311-Accounting technicians and bookkeepers,Low Wage,Unknown,1,2024,Q1,1311,Accounting technicians and bookkeepers
9150,4172809 Canada Inc.,"Mississauga, ON L4W 4V8",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9151,5003492 Ontario Inc.,"North York, ON M2M 3V9",1,Ontario,6322-Cooks,Low Wage,Unknown,1,2024,Q1,6322,Cooks
9152,5006729 Ontario Inc.,"Amherstview, ON K7N 1S3",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9153,5006991 Ontario Inc.,"Hamilton, ON L8W 3W8",1,Ontario,7322-Motor vehicle body repairers,Low Wage,Unknown,1,2024,Q1,7322,Motor vehicle body repairers
9154,5007054 Ontario Ltd,"Burlington, ON L7L 1V2",1,Ontario,6332-Bakers,Low Wage,Unknown,1,2024,Q1,6332,Bakers
9155,5008189Ontario Inc,"Scarborough, ON M1V 5P6",2,Ontario,6322-Cooks,Low Wage,Unknown,1,2024,Q1,6322,Cooks
9156,5008301 Ontario Inc.,"Mississauga, ON L4Y 2C4",1,Ontario,6321-Chefs,Low Wage,Unknown,1,2024,Q1,6321,Chefs
9157,5011816 Ontario Ltd.,"Mississauga, ON L5N 8P7",1,Ontario,6316-Other services supervisors,Low Wage,Unknown,1,2024,Q1,6316,Other services supervisors
9158,5011816 Ontario Ltd.,"Mississauga, ON L5N 8P7",1,Ontario,"6562-Estheticians, electrologists and related occupations",Low Wage,Unknown,1,2024,Q1,6562,"Estheticians, electrologists and related occupations"
9159,5013241 ONTARIO INC.,"TORONTO, ON M3H 5Y4",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9160,5017943 Ontario Ltd,"Binbrook, ON L0R 1C0",1,Ontario,1221-Administrative officers,Low Wage,Unknown,1,2024,Q1,1221,Administrative officers
9161,5019271 ONTARIO INC,"Toronto, ON M4G 2L1",1,Ontario,6322-Cooks,Low Wage,Unknown,1,2024,Q1,6322,Cooks
9162,5022323 ONTARIO INC,"Barrie, ON L4N 6A2",1,Ontario,6211-Retail sales supervisors,Low Wage,Unknown,1,2024,Q1,6211,Retail sales supervisors
9163,5025386 Ontario Inc.,"Mississauga, ON L5B 4E8",1,Ontario,6211-Retail sales supervisors,Low Wage,Unknown,1,2024,Q1,6211,Retail sales supervisors
9164,5026019 Ontario Inc.,"Burlington, ON L7R 4B6",1,Ontario,"6562-Estheticians, electrologists and related occupations",Low Wage,Unknown,1,2024,Q1,6562,"Estheticians, electrologists and related occupations"
9165,5028710 ONTARIO INC,"Brampton, ON L6Y 6B6",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9166,5036668 ONTARIO LTD,"Toronto, ON M6J 1Y3",1,Ontario,6322-Cooks,Low Wage,Unknown,1,2024,Q1,6322,Cooks
9167,5047027 ONTARIO INC.,"Mississauga, ON L5M 5H1",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9168,5054543 Ontario Inc,"MISSISSAUGA, ON L5M 1K8",2,Ontario,6322-Cooks,Low Wage,Unknown,1,2024,Q1,6322,Cooks
9169,541907 ONTARIO LIMITED,"TORONTO, ON M5B 2E9",1,Ontario,6321-Chefs,Low Wage,Unknown,1,2024,Q1,6321,Chefs
9170,600956 Ontario Ltd.,"Hamilton, ON L8H 6N6",1,Ontario,9422-Plastics processing machine operators,Low Wage,Unknown,1,2024,Q1,9422,Plastics processing machine operators
9171,6193455 Canada Inc.,"Kingston, ON K7L 1B8",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9172,6300 Trans Canada Montreal Hospitality Inc.,"Toronto, ON M9W 5G1",2,Ontario,6322-Cooks,Low Wage,Unknown,1,2024,Q1,6322,Cooks
9173,6312292 CANADA INC.,"Nepean, ON K2G 5W5",1,Ontario,6321-Chefs,Low Wage,Unknown,1,2024,Q1,6321,Chefs
9174,6361374 Canada Inc,"Toronto, ON M6A 2T3",1,Ontario,6322-Cooks,Low Wage,Unknown,1,2024,Q1,6322,Cooks
9175,657546 Ontario Ltd,"whiteriver, ON P0M 3G0",1,Ontario,6315-Cleaning supervisors,Low Wage,Unknown,1,2024,Q1,6315,Cleaning supervisors
9176,6620922 Canada Inc.,"LONDON, ON N5Z 3L1",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9177,6738532 Canada Inc.,"Brampton, ON L6W 1K5",2,Ontario,1241-Administrative assistants,Low Wage,Unknown,1,2024,Q1,1241,Administrative assistants
9178,6738532 Canada Inc.,"Brampton, ON L6W 1K5",1,Ontario,1311-Accounting technicians and bookkeepers,Low Wage,Unknown,1,2024,Q1,1311,Accounting technicians and bookkeepers
9179,6805141 Canada Inc,"Mississauga, ON L5A 4E4",1,Ontario,6611-Cashiers,Low Wage,Unknown,1,2024,Q1,6611,Cashiers
9180,686993 Ontario Inc,"Thunder Bay, ON P7B 5N2",1,Ontario,7611-Construction trades helpers and labourers,Low Wage,Unknown,1,2024,Q1,7611,Construction trades helpers and labourers
9181,692284 Ontario Inc,"Timmins, ON P4N 1B6",2,Ontario,6311-Food service supervisors,Low Wage,Unknown,2,2024,Q1,6311,Food service supervisors
9182,7098383 Canada Inc.,"Guelph, ON N1E 3J4",2,Ontario,"6711-Food counter attendants, kitchen helpers and related support occupations",Low Wage,Unknown,1,2024,Q1,6711,"Food counter attendants, kitchen helpers and related support occupations"
9183,7132344 Canada Inc.,"Brampton, ON L6W 3K7",2,Ontario,6322-Cooks,Low Wage,Unknown,1,2024,Q1,6322,Cooks
9184,7186428 Canada Inc. Brule Enterprises,"Ottawa, ON K4A  4W",1,Ontario,7441-Residential and commercial installers and servicers,Low Wage,Sole Proprietorship,1,2024,Q1,7441,Residential and commercial installers and servicers
9185,728343 Ontario Inc,"Fenwick, ON L0S 1C0",1,Ontario,7272-Cabinetmakers,Low Wage,Unknown,1,2024,Q1,7272,Cabinetmakers
9186,760496 ONTARIO LTD. SUPPLES LANDING,"Pembroke, ON K8A 8J2",1,Ontario,"3413-Nurse aides, orderlies and patient service associates",Low Wage,Unknown,1,2024,Q1,3413,"Nurse aides, orderlies and patient service associates"
9187,7875916 Canada Corp.,"Concord, ON L4K 4M8",1,Ontario,7237-Welders and related machine operators,Low Wage,Unknown,1,2024,Q1,7237,Welders and related machine operators
9188,7992734 Canada Inc.,"Scarborough, ON M1H 2V5",1,Ontario,6321-Chefs,Low Wage,Unknown,1,2024,Q1,6321,Chefs
9189,8016186 Canada Corp.,"Richmond Hill, ON L4C 9T7",1,Ontario,7611-Construction trades helpers and labourers,Low Wage,Unknown,1,2024,Q1,7611,Construction trades helpers and labourers
9190,832069 Ontario Limited,"Chatham, ON N7M 3G8",2,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9191,832069 Ontario Limited,"Chatham, ON N7M 5J5",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9192,8381542 Canada Inc.,"Ottawa, ON K2C 3Z4",2,Ontario,3414-Other assisting occupations in support of health services,Low Wage,Unknown,1,2024,Q1,3414,Other assisting occupations in support of health services
9193,8522863 Canada Inc,"Caledon, ON L7C 3Z1",1,Ontario,0631-Restaurant and food service managers,Low Wage,Unknown,1,2024,Q1,0631,Restaurant and food service managers
9194,8712468 Canada Limited,"Kirkland Lake, ON P2N 2E2",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9195,876705 ontario Ltd,"Thedford, ON N0M 2N0",1,Ontario,6322-Cooks,Low Wage,Unknown,1,2024,Q1,6322,Cooks
9196,8788995 Canada Inc.,"Vaughan, ON L4K 3B9",1,Ontario,1311-Accounting technicians and bookkeepers,Low Wage,Unknown,1,2024,Q1,1311,Accounting technicians and bookkeepers
9197,8788995 Canada Inc.,"Vaughan, ON L4K 3B9",3,Ontario,"3413-Nurse aides, orderlies and patient service associates",Low Wage,Unknown,1,2024,Q1,3413,"Nurse aides, orderlies and patient service associates"
9198,8832161 Canada Ltd. o/a Dominos Pizza,"Angus, ON L0M 1B2",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9199,8864853 Canada Inc.,"BRAMPTON, ON L6Y 0E3",4,Ontario,"6562-Estheticians, electrologists and related occupations",Low Wage,Unknown,2,2024,Q1,6562,"Estheticians, electrologists and related occupations"
9200,893473 Ontario Ltd,"Newmarket, ON L3Y 5Y1",2,Ontario,6322-Cooks,Low Wage,Unknown,1,2024,Q1,6322,Cooks
9201,8959277 Canada Inc,"Ottawa, ON K1K 1E6",3,Ontario,2225-Landscape and horticulture technicians and specialists,Low Wage,Unknown,1,2024,Q1,2225,Landscape and horticulture technicians and specialists
9202,8987912 Canada Inc,"Etobicoke, ON M9V 2X5",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9203,8987912 Canada Inc,"Etobicoke, ON M9V 2X5",2,Ontario,6322-Cooks,Low Wage,Unknown,1,2024,Q1,6322,Cooks
9204,8997527 CANADA INC,"Mississauga, ON L5T 2B9",1,Ontario,7511-Transport truck drivers,Low Wage,Unknown,1,2024,Q1,7511,Transport truck drivers
9205,9 Nails & Spa Inc.,"Mississauga, ON L5A 4C8",1,Ontario,"6562-Estheticians, electrologists and related occupations",Low Wage,Unknown,1,2024,Q1,6562,"Estheticians, electrologists and related occupations"
9206,9006931 Canada Inc.,"Windsor, ON N9B 2K2",1,Ontario,6322-Cooks,Low Wage,Unknown,1,2024,Q1,6322,Cooks
9207,9103660 Canada Inc,"Oshawa, ON L1J 2L4",1,Ontario,0631-Restaurant and food service managers,Low Wage,Unknown,1,2024,Q1,0631,Restaurant and food service managers
9208,9249940 Canada Inc,"Ottawa, ON K4A 2C4",2,Ontario,6421-Retail salespersons,Low Wage,Unknown,1,2024,Q1,6421,Retail salespersons
9209,9351531 Canada Inc,"Kingston, ON K7K 6W2",2,Ontario,1241-Administrative assistants,Low Wage,Unknown,1,2024,Q1,1241,Administrative assistants
9210,937188 Ontario Ltd,"BOLTON, ON L7E 4Z7",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9211,937188 Ontario Ltd,"BOLTON, ON L7E 4Z7",1,Ontario,"6711-Food counter attendants, kitchen helpers and related support occupations",Low Wage,Unknown,1,2024,Q1,6711,"Food counter attendants, kitchen helpers and related support occupations"
9212,9479325 CANADA INC,"BRAMPTON, ON L6R 1C2",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9213,9531785 CANADA LIMITED,"Niagara Falls, ON L2E 4E3",1,Ontario,6211-Retail sales supervisors,Low Wage,Unknown,1,2024,Q1,6211,Retail sales supervisors
9214,9531785 CANADA LIMITED,"Niagara Falls, ON L2E 4E3",2,Ontario,6322-Cooks,Low Wage,Unknown,1,2024,Q1,6322,Cooks
9215,954559 Ontario Limited,"WELLAND, ON L3C 1M3",1,Ontario,"6711-Food counter attendants, kitchen helpers and related support occupations",Low Wage,Unknown,1,2024,Q1,6711,"Food counter attendants, kitchen helpers and related support occupations"
9216,9645322 Canada Inc.,"Newmarket, ON L3Y 0G3",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9217,9683291 CANADA INC.,"MISSISSAUGA, ON L5T 1R3",1,Ontario,1241-Administrative assistants,Low Wage,Unknown,1,2024,Q1,1241,Administrative assistants
9218,9739602 Canada Inc,"Toronto, ON M6G 1B4",1,Ontario,6322-Cooks,Low Wage,Unknown,1,2024,Q1,6322,Cooks
9219,977633 Ontario Inc.,"Ottawa, ON K1B 4S4",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9220,9814205 Canada Inc.,"BRAMPTON, ON L6Z 4N5",1,Ontario,1241-Administrative assistants,Low Wage,Unknown,1,2024,Q1,1241,Administrative assistants
9221,9817069 Canada Inc.,"London, ON N6E 3A9",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9222,9827480 CANADA LTD.,"Kitchener, ON N2P 2J4",1,Ontario,1241-Administrative assistants,Low Wage,Unknown,1,2024,Q1,1241,Administrative assistants
9223,9899944 Canada Inc,"Mississauga, ON L5T 2L5",1,Ontario,6211-Retail sales supervisors,Low Wage,Unknown,1,2024,Q1,6211,Retail sales supervisors
9224,9915702 Canada Inc.,"Toronto, ON M3J 3J4",2,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9225,9968784 Canada Inc.,"Orléans, ON K1C 7E2",1,Ontario,6332-Bakers,Low Wage,Unknown,1,2024,Q1,6332,Bakers
9226,9973273 CANADA INC.,"Ottawa, ON K2A 1C4",1,Ontario,"4412-Home support workers, housekeepers and related occupations",Low Wage,Unknown,1,2024,Q1,4412,"Home support workers, housekeepers and related occupations"
9227,998142 ONT INC.,"BARRIE, ON L4M 4Z8",1,Ontario,"6711-Food counter attendants, kitchen helpers and related support occupations",Low Wage,Unknown,1,2024,Q1,6711,"Food counter attendants, kitchen helpers and related support occupations"
9228,9989951 Canada Inc.,"Barry's Bay, ON K0J 1B0",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9229,9997067 Canada Inc.,"Orléans, ON K4A 5E6",1,Ontario,6322-Cooks,Low Wage,Unknown,1,2024,Q1,6322,Cooks
9230,A & Sons Corporation,"Dryden, ON P8N 2P4",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9231,A & Sons Corporation,"Dryden, ON P8N 2P4",2,Ontario,6322-Cooks,Low Wage,Unknown,2,2024,Q1,6322,Cooks
9232,A Child's Paradise Inc.,"Brantford, ON N3P 1N6",1,Ontario,4214-Early childhood educators and assistants,Low Wage,Unknown,1,2024,Q1,4214,Early childhood educators and assistants
9233,A Child's World Family Child Care Services of Niagara,"Niagara Falls, ON L2H 0B9",1,Ontario,4214-Early childhood educators and assistants,Low Wage,Unknown,1,2024,Q1,4214,Early childhood educators and assistants
9234,A Raymond & Sons Enterprises Ltd,"Osgoode, ON K0A 2W0",1,Ontario,1241-Administrative assistants,Low Wage,Unknown,1,2024,Q1,1241,Administrative assistants
9235,A&W Restaurant,"Stratford, ON N5A 3K1",1,Ontario,6311-Food service supervisors,Low Wage,Unknown,1,2024,Q1,6311,Food service supervisors
9236,A.C.E DAYCARE (WOODBRIDGE) INC,"Woodbridge, ON L4L 1W4",1,Ontario,4214-Early childhood educators and assistants,Low Wage,Unknown,1,2024,Q1,4214,Early childhood educators and assistants
9237,A.E. Wen Enterprises Inc.,"Toronto, ON M9W 5S8",13,Ontario,6311-Food service supervisors,Low Wage,Unknown,11,2024,Q1,6311,Food service supervisors
9238,A.E. Wen Enterprises Inc.,"Toronto, ON M9W 5S8",1,Ontario,"6711-Food counter attendants, kitchen helpers and related support occupations",Low Wage,Unknown,1,2024,Q1,6711,"Food counter attendants, kitchen helpers and related support occupations"
9239,A.K. Harmony Canada Inc.,"Brampton, ON L7A 4S2",1,Ontario,6211-Retail sales supervisors,Low Wage,Unknown,1,2024,Q1,6211,Retail sales supervisors
9240,A.L. Cumber Foods Inc.,"Parry Sound, ON P2A 2K6",4,Ontario,6311-Food service supervisors,Low Wage,Unknown,3,2024,Q1,6311,Food service supervisors
9241,A.L. Cumber Foods Inc.,"Parry Sound, ON P2A 2K6",1,Ontario,6322-Cooks,Low Wage,Unknown,1,2024,Q1,6322,Cooks
9242,A.R. LOGISTICS 2005 INC.,"Brampton, ON L6W 1H9",1,Ontario,7511-Transport truck drivers,Low Wage,Unknown,1,2024,Q1,7511,Transport truck drivers
